Month,Year,City,Low Temperature,Average Temperature,High Temperature,Low Humidity,Avg Humidity,High Humidity,Low Pressurre,Avg Pressure,High Pressure
12,2013,"Khairpur,",6 °C,18 °C,30 °C,13%,55%,95%,1006 mbar,1016 mbar,1024 mbar
1,2014,"Khairpur,",6 °C,16 °C,28 °C,18%,49%,88%,1013 mbar,1018 mbar,1025 mbar
2,2014,"Khairpur,",10 °C,20 °C,29 °C,13%,45%,90%,1007 mbar,1013 mbar,1021 mbar
3,2014,"Khairpur,",16 °C,25 °C,36 °C,9%,46%,91%,999 mbar,1012 mbar,1020 mbar
4,2014,"Khairpur,",21 °C,30 °C,42 °C,7%,47%,96%,1001 mbar,1008 mbar,1015 mbar
5,2014,"Khairpur,",26 °C,33 °C,45 °C,11%,52%,100%,998 mbar,1004 mbar,1010 mbar
6,2014,"Khairpur,",28 °C,34 °C,46 °C,12%,59%,92%,985 mbar,997 mbar,1008 mbar
7,2014,"Khairpur,",23 °C,32 °C,40 °C,38%,66%,100%,992 mbar,998 mbar,1003 mbar
8,2014,"Khairpur,",26 °C,31 °C,40 °C,33%,64%,88%,994 mbar,1001 mbar,1009 mbar
9,2014,"Khairpur,",25 °C,30 °C,38 °C,37%,65%,88%,995 mbar,1004 mbar,1011 mbar
10,2014,"Khairpur,",21 °C,29 °C,39 °C,11%,46%,100%,1005 mbar,1011 mbar,1016 mbar
11,2014,"Khairpur,",17 °C,25 °C,34 °C,14%,49%,95%,1007 mbar,1013 mbar,1018 mbar
12,2014,"Khairpur,",10 °C,19 °C,31 °C,17%,50%,98%,1011 mbar,1016 mbar,1023 mbar
1,2015,"Khairpur,",10 °C,18 °C,28 °C,19%,58%,90%,1012 mbar,1017 mbar,1022 mbar
2,2015,"Khairpur,",13 °C,22 °C,34 °C,12%,55%,95%,1007 mbar,1014 mbar,1024 mbar
3,2015,"Khairpur,",10 °C,26 °C,40 °C,9%,46%,91%,1005 mbar,1012 mbar,1023 mbar
4,2015,"Khairpur,",23 °C,32 °C,44 °C,4%,43%,100%,1001 mbar,1007 mbar,1013 mbar
5,2015,"Khairpur,",24 °C,33 °C,46 °C,10%,56%,92%,999 mbar,1004 mbar,1009 mbar
6,2015,"Khairpur,",24 °C,33 °C,42 °C,18%,60%,90%,991 mbar,999 mbar,1008 mbar
7,2015,"Khairpur,",26 °C,32 °C,39 °C,40%,68%,99%,990 mbar,999 mbar,1004 mbar
8,2015,"Khairpur,",27 °C,30 °C,36 °C,43%,69%,100%,993 mbar,1002 mbar,1005 mbar
9,2015,"Khairpur,",24 °C,31 °C,40 °C,21%,63%,92%,998 mbar,1006 mbar,1014 mbar
10,2015,"Khairpur,",20 °C,30 °C,41 °C,14%,56%,96%,1003 mbar,1011 mbar,1017 mbar
11,2015,"Khairpur,",15 °C,25 °C,35 °C,16%,46%,95%,1009 mbar,1014 mbar,1020 mbar
12,2015,"Khairpur,",9 °C,19 °C,31 °C,16%,50%,94%,1010 mbar,1017 mbar,1024 mbar
1,2016,"Khairpur,",12 °C,20 °C,29 °C,26%,59%,90%,1006 mbar,1016 mbar,1022 mbar
2,2016,"Khairpur,",12 °C,22 °C,34 °C,8%,38%,84%,1009 mbar,1015 mbar,1021 mbar
3,2016,"Khairpur,",19 °C,28 °C,38 °C,7%,46%,95%,1001 mbar,1011 mbar,1017 mbar
4,2016,"Khairpur,",21 °C,31 °C,44 °C,5%,48%,84%,1001 mbar,1007 mbar,1013 mbar
5,2016,"Khairpur,",24 °C,33 °C,48 °C,9%,58%,98%,995 mbar,1002 mbar,1008 mbar
6,2016,"Khairpur,",26 °C,33 °C,46 °C,11%,60%,92%,992 mbar,999 mbar,1006 mbar
7,2016,"Khairpur,",27 °C,32 °C,38 °C,40%,68%,88%,993 mbar,998 mbar,1003 mbar
8,2016,"Khairpur,",24 °C,30 °C,39 °C,41%,73%,100%,993 mbar,1000 mbar,1006 mbar
9,2016,"Khairpur,",24 °C,30 °C,40 °C,34%,67%,96%,999 mbar,1004 mbar,1008 mbar
10,2016,"Khairpur,",22 °C,29 °C,40 °C,12%,65%,96%,1000 mbar,1008 mbar,1017 mbar
11,2016,"Khairpur,",16 °C,24 °C,36 °C,13%,52%,91%,1008 mbar,1013 mbar,1019 mbar
12,2016,"Khairpur,",14 °C,21 °C,31 °C,26%,59%,100%,1009 mbar,1015 mbar,1021 mbar
1,2017,"Khairpur,",9 °C,16 °C,26 °C,22%,63%,94%,1011 mbar,1017 mbar,1025 mbar
2,2017,"Khairpur,",10 °C,22 °C,34 °C,16%,44%,78%,1007 mbar,1015 mbar,1023 mbar
3,2017,"Khairpur,",13 °C,26 °C,41 °C,6%,45%,91%,1004 mbar,1010 mbar,1016 mbar
4,2017,"Khairpur,",20 °C,31 °C,44 °C,5%,50%,96%,999 mbar,1006 mbar,1013 mbar
5,2017,"Khairpur,",26 °C,34 °C,44 °C,15%,56%,92%,993 mbar,1002 mbar,1009 mbar
6,2017,"Khairpur,",26 °C,33 °C,44 °C,28%,64%,96%,993 mbar,999 mbar,1004 mbar
7,2017,"Khairpur,",26 °C,31 °C,38 °C,42%,71%,96%,993 mbar,998 mbar,1003 mbar
8,2017,"Khairpur,",26 °C,31 °C,40 °C,37%,69%,100%,993 mbar,1000 mbar,1006 mbar
9,2017,"Khairpur,",24 °C,30 °C,39 °C,30%,71%,100%,999 mbar,1005 mbar,1009 mbar
10,2017,"Khairpur,",20 °C,31 °C,42 °C,7%,49%,100%,1002 mbar,1008 mbar,1017 mbar
11,2017,"Khairpur,",14 °C,25 °C,36 °C,17%,48%,97%,1006 mbar,1013 mbar,1020 mbar
12,2017,"Khairpur,",10 °C,19 °C,29 °C,15%,55%,94%,1011 mbar,1017 mbar,1024 mbar
1,2018,"Khairpur,",10 °C,20 °C,30 °C,16%,53%,90%,1007 mbar,1014 mbar,1021 mbar
2,2018,"Khairpur,",13 °C,23 °C,35 °C,16%,53%,91%,1006 mbar,1014 mbar,1025 mbar
3,2018,"Khairpur,",19 °C,29 °C,43 °C,10%,45%,99%,1002 mbar,1010 mbar,1016 mbar
4,2018,"Khairpur,",22 °C,33 °C,43 °C,15%,50%,92%,1000 mbar,1006 mbar,1012 mbar
5,2018,"Khairpur,",24 °C,34 °C,46 °C,12%,55%,96%,994 mbar,1002 mbar,1007 mbar
6,2018,"Khairpur,",27 °C,33 °C,42 °C,28%,63%,95%,905 mbar,996 mbar,1003 mbar
7,2018,"Khairpur,",26 °C,32 °C,39 °C,40%,66%,88%,992 mbar,996 mbar,1001 mbar
8,2018,"Khairpur,",24 °C,30 °C,38 °C,39%,68%,99%,992 mbar,999 mbar,1008 mbar
9,2018,"Khairpur,",24 °C,30 °C,64 °C,1%,64%,100%,1001 mbar,1005 mbar,1010 mbar
10,2018,"Khairpur,",22 °C,30 °C,42 °C,10%,46%,96%,1005 mbar,1011 mbar,1017 mbar
11,2018,"Khairpur,",18 °C,25 °C,36 °C,12%,48%,100%,1007 mbar,1014 mbar,1021 mbar
12,2018,"Khairpur,",8 °C,20 °C,30 °C,23%,56%,90%,1010 mbar,1016 mbar,1024 mbar
1,2019,"Khairpur,",11 °C,18 °C,28 °C,14%,57%,89%,1011 mbar,1018 mbar,1026 mbar
2,2019,"Khairpur,",11 °C,20 °C,29 °C,13%,49%,88%,1006 mbar,1016 mbar,1023 mbar
3,2019,"Khairpur,",10 °C,25 °C,41 °C,10%,46%,100%,1006 mbar,1012 mbar,1020 mbar
4,2019,"Khairpur,",23 °C,32 °C,44 °C,7%,50%,96%,1000 mbar,1007 mbar,1012 mbar
5,2019,"Khairpur,",26 °C,33 °C,44 °C,11%,55%,88%,997 mbar,1004 mbar,1009 mbar
6,2019,"Khairpur,",28 °C,34 °C,45 °C,9%,58%,85%,991 mbar,999 mbar,1003 mbar
7,2019,"Khairpur,",26 °C,33 °C,42 °C,32%,65%,96%,992 mbar,997 mbar,1002 mbar
8,2019,"Khairpur,",25 °C,31 °C,38 °C,38%,72%,100%,992 mbar,1000 mbar,1006 mbar
9,2019,"Khairpur,",26 °C,32 °C,39 °C,28%,66%,92%,996 mbar,1004 mbar,1011 mbar
10,2019,"Khairpur,",22 °C,30 °C,39 °C,19%,51%,87%,1006 mbar,1010 mbar,1014 mbar
11,2019,"Khairpur,",16 °C,24 °C,35 °C,20%,51%,81%,1006 mbar,1014 mbar,1020 mbar
12,2019,"Khairpur,",8 °C,19 °C,29 °C,21%,55%,100%,1009 mbar,1017 mbar,1024 mbar
1,2020,"Khairpur,",6 °C,16 °C,26 °C,17%,58%,94%,1008 mbar,1017 mbar,1024 mbar
2,2020,"Khairpur,",12 °C,22 °C,37 °C,11%,47%,95%,1007 mbar,1015 mbar,1022 mbar
3,2020,"Khairpur,",5 °C,25 °C,36 °C,10%,45%,100%,1005 mbar,1011 mbar,1018 mbar
4,2020,"Khairpur,",23 °C,32 °C,42 °C,11%,43%,77%,1001 mbar,1008 mbar,1014 mbar
5,2020,"Khairpur,",26 °C,34 °C,45 °C,12%,52%,84%,996 mbar,1003 mbar,1008 mbar
6,2020,"Khairpur,",28 °C,34 °C,42 °C,25%,58%,78%,993 mbar,999 mbar,1006 mbar
7,2020,"Khairpur,",27 °C,34 °C,40 °C,38%,61%,85%,991 mbar,998 mbar,1005 mbar
8,2020,"Khairpur,",26 °C,32 °C,40 °C,41%,71%,100%,989 mbar,997 mbar,1004 mbar
9,2020,"Khairpur,",25 °C,31 °C,38 °C,39%,71%,95%,997 mbar,1004 mbar,1008 mbar
10,2020,"Khairpur,",20 °C,30 °C,39 °C,11%,46%,88%,1002 mbar,1007 mbar,1015 mbar
11,2020,"Khairpur,",12 °C,23 °C,34 °C,21%,48%,82%,1003 mbar,1015 mbar,1023 mbar
12,2020,"Khairpur,",8 °C,19 °C,34 °C,13%,53%,87%,1008 mbar,1015 mbar,1024 mbar
1,2021,"Khairpur,",9 °C,17 °C,29 °C,13%,50%,90%,1010 mbar,1015 mbar,1020 mbar
3,2021,"Khairpur,",17 °C,28 °C,41 °C,7%,44%,82%,1003 mbar,1010 mbar,1018 mbar
4,2021,"Khairpur,",22 °C,31 °C,42 °C,5%,39%,80%,1001 mbar,1007 mbar,1011 mbar
5,2021,"Khairpur,",26 °C,33 °C,46 °C,16%,51%,78%,995 mbar,1002 mbar,1008 mbar
6,2021,"Khairpur,",28 °C,33 °C,40 °C,35%,58%,81%,990 mbar,1000 mbar,1008 mbar
7,2021,"Khairpur,",28 °C,32 °C,40 °C,36%,66%,88%,991 mbar,997 mbar,1004 mbar
8,2021,"Khairpur,",26 °C,31 °C,38 °C,40%,62%,84%,996 mbar,1001 mbar,1006 mbar
9,2021,"Khairpur,",26 °C,32 °C,38 °C,38%,66%,92%,997 mbar,1002 mbar,1006 mbar
10,2021,"Khairpur,",22 °C,29 °C,38 °C,10%,52%,96%,1002 mbar,1008 mbar,1018 mbar
11,2021,"Khairpur,",15 °C,25 °C,36 °C,17%,44%,95%,1008 mbar,1012 mbar,1018 mbar
12,2021,"Khairpur,",11 °C,19 °C,26 °C,25%,53%,90%,1010 mbar,1017 mbar,1024 mbar
1,2022,"Khairpur,",8 °C,18 °C,32 °C,19%,61%,100%,1004 mbar,1015 mbar,1022 mbar
2,2022,"Khairpur,",13 °C,23 °C,35 °C,16%,48%,95%,1005 mbar,1012 mbar,1020 mbar
3,2022,"Khairpur,",18 °C,29 °C,42 °C,5%,43%,87%,1001 mbar,1009 mbar,1019 mbar
4,2022,"Khairpur,",23 °C,33 °C,44 °C,9%,46%,91%,998 mbar,1005 mbar,1011 mbar
5,2022,"Khairpur,",26 °C,33 °C,46 °C,8%,58%,91%,993 mbar,1000 mbar,1007 mbar
6,2022,"Khairpur,",27 °C,34 °C,44 °C,15%,58%,88%,992 mbar,999 mbar,1007 mbar
7,2022,"Khairpur,",26 °C,30 °C,39 °C,41%,78%,100%,992 mbar,999 mbar,1006 mbar
8,2022,"Khairpur,",25 °C,29 °C,36 °C,55%,81%,100%,992 mbar,999 mbar,1009 mbar
9,2022,"Khairpur,",25 °C,30 °C,39 °C,40%,70%,92%,997 mbar,1004 mbar,1009 mbar
10,2022,"Khairpur,",22 °C,29 °C,38 °C,10%,54%,99%,1004 mbar,1010 mbar,1015 mbar
12,2022,"Khairpur,",12 °C,20 °C,29 °C,22%,53%,88%,1011 mbar,1016 mbar,1024 mbar
1,2023,"Khairpur,",7 °C,17 °C,28 °C,19%,45%,100%,1009 mbar,1018 mbar,1024 mbar
2,2023,"Khairpur,",14 °C,24 °C,36 °C,13%,51%,95%,1008 mbar,1014 mbar,1022 mbar
