City Name,Province,Above 2500,Below 118,All Elevation
Badin,Sindh,0.0,7286.466666666663,7286.466666666663
Central Karachi,Sindh,0.0,70.12156862745097,70.12156862745097
Dadu,Sindh,0.0,6444.380392156866,9123.356862745093
East Karachi,Sindh,0.0,226.33333333333337,226.33333333333337
Ghotki,Sindh,0.0,7352.356862745096,7352.356862745096
Hyderabad,Sindh,0.0,1101.5294117647052,1101.5294117647052
Jacobabad,Sindh,0.0,3238.541176470588,3238.541176470588
Jamshoro,Sindh,0.0,4154.615686274507,12059.145098039226
Kashmore,Sindh,0.0,3119.2235294117654,3119.2235294117654
Khairpur,Sindh,0.0,17882.16078431373,17918.54509803922
Larkana,Sindh,0.0,2153.011764705882,2153.011764705882
Matiari,Sindh,0.0,1773.2352941176462,1773.2352941176462
Mirpur Khas,Sindh,0.0,3753.1607843137253,3753.1607843137253
Naushahro Feroze,Sindh,0.0,3176.3176470588232,3176.3176470588232
Sanghar,Sindh,0.0,11026.35294117648,11026.35294117648
Shikarpur,Sindh,0.0,2964.5176470588217,2964.5176470588217
South Karachi,Sindh,0.0,97.27450980392156,97.27450980392156
Sujawal,Sindh,0.0,9351.054901960795,9351.054901960795
Sukkur,Sindh,0.0,5769.058823529407,5803.6431372549
Tando Allahyar,Sindh,0.0,1646.6431372549007,1646.6431372549007
Tando Muhammad Khan,Sindh,0.0,1949.156862745098,1949.156862745098
Tharparkar,Sindh,0.0,19344.670588235313,21910.505882352973
Thatta,Sindh,0.0,8502.764705882366,8981.258823529424
West Karachi,Sindh,0.0,208.80000000000007,208.80000000000007
Umerkot,Sindh,0.0,6342.435294117649,6342.435294117649
Qambar Shahdadkot,Sindh,0.0,4823.33333333332,6148.156862745087
Malir,Sindh,0.0,1317.0235294117638,2920.0941176470615
Attock,Punjab,0.0,0.0,8389.960784313724
Bahawalnagar,Punjab,0.0,0.0,10099.19215686275
Bahawalpur,Punjab,0.0,16884.42352941176,27449.78823529413
Bhakkar,Punjab,0.0,0.0,10040.137254901962
Chakwal,Punjab,0.0,0.0,3981.854901960787
Chiniot,Punjab,0.0,0.0,3075.4823529411756
Dera Ghazi Khan,Punjab,0.0,1272.8666666666659,10562.176470588238
Faisalabad,Punjab,0.0,0.0,6976.980392156874
Gujranwala,Punjab,0.0,0.0,2894.8745098039194
Gujrat,Punjab,0.0,0.0,3558.5098039215723
Hafizabad,Punjab,0.0,0.0,2682.192156862748
Jhang,Punjab,0.0,0.0,7267.360784313718
Jhelum,Punjab,0.0,0.0,4319.403921568624
Kasur,Punjab,0.0,0.0,4405.298039215687
Khanewal,Punjab,0.0,6.6117647058823525,5021.403921568631
Khushab,Punjab,0.0,0.0,7698.254901960784
Lahore,Punjab,0.0,0.0,2117.5764705882366
Lodhran,Punjab,0.0,1511.564705882353,3073.643137254903
Mandi Bahauddin,Punjab,0.0,0.0,3284.2666666666664
Mianwali,Punjab,0.0,0.0,7126.109803921562
Multan,Punjab,0.0,2398.7294117647057,4220.862745098039
Muzaffargarh,Punjab,0.0,3876.505882352943,5204.305882352935
Nankana Sahib,Punjab,0.0,0.0,2606.5764705882343
Narowal,Punjab,0.0,0.0,2750.4509803921583
Okara,Punjab,0.0,0.0,5182.635294117651
Pakpattan,Punjab,0.0,0.0,3120.992156862743
Rajanpur,Punjab,0.0,6979.917647058817,15031.298039215691
Rawalpindi,Punjab,0.0,0.0,5358.403921568629
Sahiwal,Punjab,0.0,0.0,3754.7176470588233
Sargodha,Punjab,0.0,0.0,7043.345098039214
Sheikhupura,Punjab,0.0,0.0,4268.525490196081
Sialkot,Punjab,0.0,0.0,3622.26274509804
Toba Tek Singh,Punjab,0.0,0.0,3822.0666666666666
Vehari,Punjab,0.0,0.0,5196.976470588237
Talagang,Punjab,0.0,0.0,3692.8470588235286
Layyah,Punjab,0.0,0.0,7461.443137254895
Taunsa,Punjab,0.0,0.0,3088.8901960784324
Kot Addu,Punjab,0.0,0.0,3683.2392156862747
Dera Ismail Khan,Punjab,67.94901960784313,0.0,11081.384313725499
Rahim Yar Khan,Punjab,0.0,13584.99999999999,14684.149019607836
Nawabshah,Punjab,0.0,4854.760784313722,4854.760784313722
Wazirabad,Punjab,0.0,0.0,1397.1019607843125
Islamabad,Islamabad,0.0,0.0,1156.529411764706
Awaran,Balochistan,0.0,1772.8705882352942,28793.92549019611
Barkhan,Balochistan,0.0,0.0,4701.662745098037
Chagai,Balochistan,0.0,0.0,45366.38039215692
Gwadar,Balochistan,0.0,10860.84705882353,13084.443137254902
Kech,Balochistan,0.0,5207.5215686274505,26307.788235294087
Khuzdar,Balochistan,0.0,0.0,25924.050980392152
Lasbela,Balochistan,0.0,7276.023529411763,17814.733333333348
Musakhel,Balochistan,268.13725490196066,0.0,509.7647058823529
Panjgur,Balochistan,0.0,0.0,20134.976470588233
Chaman,Balochistan,6219920.0,2.5407506E7,1.425762834117647E8
Bagh,Azad Kashmir,55.00392156862745,0.0,758.1058823529407
Bhimber,Azad Kashmir,0.0,0.0,1500.3647058823526
Jhelum Valley,Azad Kashmir,259.9058823529412,0.0,936.2941176470582
Haveli,Azad Kashmir,291.62745098039215,0.0,809.1137254901961
Kotli,Azad Kashmir,0.0,0.0,1849.2705882352934
Mirpur,Azad Kashmir,0.0,0.0,1242.8274509803923
Muzaffarabad,Azad Kashmir,151.59607843137258,0.0,1379.0627450980398
Poonch,Azad Kashmir,629.086274509804,0.0,2022.0509803921568
Astore,Gilgit Baltistan,5293.392156862745,0.0,5614.631372549021
Ghanche,Gilgit Baltistan,7201.694117647059,0.0,7326.596078431371
Gilgit,Gilgit Baltistan,4177.937254901962,0.0,5194.584313725489
Hunza,Gilgit Baltistan,14198.262745098049,0.0,14324.627450980403
Skardu,Gilgit Baltistan,8798.886274509803,0.0,9353.764705882359
Nagar,Gilgit Baltistan,4033.9254901960803,0.0,4186.1882352941175
Kharmang,Gilgit Baltistan,3248.407843137255,0.0,3285.749019607843
Shigar,Gilgit Baltistan,9006.321568627445,0.0,9362.831372549008
Abbottabad,Khyber Pakhtunkhwa,18.0,0.0,2096.3372549019587
Bajaur,Khyber Pakhtunkhwa,21.87843137254902,0.0,1667.3529411764703
Bannu,Khyber Pakhtunkhwa,0.0,0.0,2442.109803921571
Buner,Khyber Pakhtunkhwa,3.7490196078431373,0.0,2104.658823529411
Charsadda,Khyber Pakhtunkhwa,0.0,0.0,1191.6549019607855
Chitral Lower,Khyber Pakhtunkhwa,4894.596078431373,0.0,5686.305882352941
Hangu,Khyber Pakhtunkhwa,0.0,0.0,1575.2274509803922
Haripur,Khyber Pakhtunkhwa,0.0,0.0,2247.0588235294113
Karak,Khyber Pakhtunkhwa,0.0,0.0,3192.670588235292
Khyber,Khyber Pakhtunkhwa,226.44313725490196,0.0,3395.67843137255
Kohat,Khyber Pakhtunkhwa,0.0,0.0,4186.000000000003
Kurram,Khyber Pakhtunkhwa,496.4666666666665,0.0,4100.909803921567
Lakki Marwat,Khyber Pakhtunkhwa,0.0,0.0,3911.7019607843145
Lower Dir,Khyber Pakhtunkhwa,35.68235294117647,0.0,2095.745098039214
Malakand,Khyber Pakhtunkhwa,0.0,0.0,1132.9529411764709
Mansehra,Khyber Pakhtunkhwa,2333.5803921568613,0.0,4996.964705882347
Mardan,Khyber Pakhtunkhwa,0.0,0.0,1995.301960784313
Mohmand,Khyber Pakhtunkhwa,0.0,0.0,2691.3803921568647
North Waziristan,Khyber Pakhtunkhwa,442.91764705882343,0.0,5904.188235294118
Nowshera,Khyber Pakhtunkhwa,0.0,0.0,2167.1294117647067
Orakzai,Khyber Pakhtunkhwa,2.8745098039215686,0.0,1662.419607843136
Peshawar,Khyber Pakhtunkhwa,0.0,0.0,1725.7960784313716
Shangla,Khyber Pakhtunkhwa,211.19607843137257,0.0,1699.6745098039214
Swabi,Khyber Pakhtunkhwa,0.0,0.0,1780.7999999999993
Swat,Khyber Pakhtunkhwa,3778.803921568631,0.0,6619.125490196078
Tank,Khyber Pakhtunkhwa,0.0,0.0,3400.717647058823
Upper Dir,Khyber Pakhtunkhwa,1998.4901960784323,0.0,3223.623529411767
Upper Kohistan,Khyber Pakhtunkhwa,5221.4274509803845,0.0,6641.898039215682
Kolai-Palas,Khyber Pakhtunkhwa,990.9882352941173,0.0,1441.1372549019604
